ID,Date,Lake,Ecotype,Lake_type,Trial_end_time,Treatment,Stage,Fanning_time,Nest_time,Fan_prop,Latency_return,Brain,Time_in_PFA_or_RNALater,Mass,SL,Bodycondition,Nest_depth,Percent_cover,Embryos_stage,Embryos_score
HL-6,6/9/24,Hope,Limnetic,No Pike,1115,Pike,Baseline,13.73,15.484,0.886721777,NA,IHC,1224,1.09,42,1.47122341,0.9,0.19,No eyes,2
HL-7,6/10/24,Hope,Limnetic,No Pike,1056,Pike,Baseline,91.13,109.399,0.833005786,NA,IHC,1157,0.85,41.2,1.215422516,0.98,0.5,Eyes,3
HL-8,6/10/24,Hope,Limnetic,No Pike,1059,Char,Baseline,10.456,16.709,0.625770543,NA,IHC,1203,1.01,48.4,0.890810421,0.82,0.56,None,1
HL-9,6/10/24,Hope,Limnetic,No Pike,1113,Trout,Baseline,27.197,49.033,0.554667265,NA,IHC,1212,0.67,38.2,1.201945329,1.13,0.31,None,1
FG-1,6/14/24,Finger,Benthic,Pike,1129,Char,Baseline,31.886,53.242,0.598888096,NA,IHC,1251,1.41,47.4,1.323988118,0.51,1,Fry,4
FG-2,6/14/24,Finger,Benthic,Pike,1145,Pike,Baseline,47.796,56.081,0.852267256,NA,IHC,1304,1.21,45.5,1.284550494,0.53,0.69,Fry,4
FG-3,6/14/24,Finger,Benthic,Pike,1222,Trout,Baseline,139.033,147.951,0.939723287,NA,IHC,1327,1.14,45.7,1.194417757,0.7,0.81,Eyes,3
FG-5,6/14/24,Finger,Benthic,Pike,1412,Char,Baseline,107.223,137.306,0.780905423,NA,RNA,1516,1.69,52.5,1.167908433,0.52,0.75,Fry,4
FG-6,6/14/24,Finger,Benthic,Pike,1426,Pike,Baseline,43.954,55.833,0.787240521,NA,RNA,1526,1.39,48.3,1.233597294,0.52,0.5,Eyes,3
FG-10,6/15/24,Finger,Benthic,Pike,1228,Trout,Baseline,12.923,14.485,0.892164308,NA,RNA,1342,2.08,53.1,1.389247973,0.45,0.94,No eyes,2
FG-7,6/15/24,Finger,Benthic,Pike,1146,Trout,Baseline,89.162,207.295,0.430121325,NA,IHC,1254,1.2,43.8,1.428100971,0.58,0.5,Mixed,5
FG-8,6/15/24,Finger,Benthic,Pike,1157,Char,Baseline,134.115,144.417,0.928664908,NA,IHC,1310,0.97,41.9,1.318650383,0.43,0.75,Eyes,3
FG-9,6/15/24,Finger,Benthic,Pike,1216,Pike,Baseline,128.306,151.061,0.849365488,NA,IHC,1325,1.69,51,1.274019796,0.43,0.56,Eyes,3
CL-1,6/16/24,Crystal,Limnetic,Pike,1210,Pike,Baseline,13.494,25.671,0.525651513,NA,IHC,1310,1.47,47,1.415871242,0.63,0.06,None,1
CL-2,6/16/24,Crystal,Limnetic,Pike,1224,Char,Baseline,10.735,28.263,0.379825213,NA,IHC,1326,1.26,48.2,1.125199241,0.71,0.31,Fry,4
CL-3,6/16/24,Crystal,Limnetic,Pike,1237,Trout,Baseline,86.968,100.45,0.865783972,NA,IHC,1340,1.37,48.7,1.186133805,0.69,0.44,Mixed,5
CL-4,6/16/24,Crystal,Limnetic,Pike,1408,Trout,Baseline,139.607,150.645,0.926728401,NA,RNA,NA,1.87,53.9,1.194195172,0.63,0.31,Eyes,3
CL-5,6/16/24,Crystal,Limnetic,Pike,1424,Pike,Baseline,63.858,96.423,0.662269376,NA,RNA,1528,2.35,62.3,0.971860033,0.63,0.25,Mixed,5
CL-6,6/16/24,Crystal,Limnetic,Pike,1441,Char,Baseline,52.983,96.481,0.549154756,NA,RNA,1542,1.33,48.9,1.137431008,0.67,0.38,No eyes,2
CL-10,6/17/24,Crystal,Limnetic,Pike,1234,Trout,Baseline,7.402,130.003,0.056937148,NA,RNA,1335,1.62,49.9,1.303807208,0.69,0.31,No eyes,2
